Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-664,-1080,-1250,-1306
Net cash used for investing activites,-628,-1049,-1244,-1221
Common stock issued,-94,5869,4011,7758
Net cash used privided by (used for) financing activities,-131,5869,4011,7758
Net change in cash,-3228,785,-42,-2484
Cash at beginning of period,5354,2586,2730,5292
Cash at end of period,2126,3475,2586,2730
Capital Expenditure,-664,-1080,-1250,-1306
Free Cash Flow,-3133,-5115,-4059,-10327
