Breakdown,ttm,6/30/2019
Research Development,1883,496.688
Selling General and Administrative,2543,1364
Total Operating Expenses,5165,2312
Operating Income or Loss,-5165,-2312
Income Before Tax,-5097,-2283
Income Tax Expense,0,0
Income from Continuing Operations,-5097,-2283
Net Income,-5097,-2283
Net Income available to common shareholders,-5097,-2283
Basic EPS,-,-0.04
Diluted EPS,-,-0.04
Basic Average Shares,-,56711
Diluted Average Shares,-,56711
