Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-9299,186823,83660,43326
Depreciation & amortization,-,450191,331673,263498
Change in working capital,-,-362811,-399196,-124097
Inventory,-,-311557,-55298,-42538
Other working capital,-,-261959,-328016,-59770
Other non-cash items,-,48182,56248,75513
Net cash provided by operating activites,-,397236,72428,192089
Investments in property plant and equipment,-,-659195,-400444,-251859
Purchases of investments,-,-13630,-7318,-6998
Sales/Maturities of investments,-,34595,-,-
Other investing activites,-,2083,-2408,-22413
Net cash used for investing activites,-,-631337,-409370,-280591
Net change in cash,-,-26628,174976,-207234
Cash at beginning of period,-,744414,569437,776671
Cash at end of period,-,717786,744414,569437
Operating Cash Flow,-,397236,72428,192089
Capital Expenditure,-,-659195,-400444,-251859
Free Cash Flow,-,-261959,-328016,-59770
