Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-1519287,-524901,681792,-640674
Depreciation & amortization,-,624117,493728,807056
Change in working capital,-,2309360,-1973312,-534034
Inventory,-,602192,-1620898,-418956
Other working capital,-,-685937,-1130956,-555172
Other non-cash items,-,204659,52702,176115
Net cash provided by operating activites,-,2524968,-797611,-226332
Investments in property plant and equipment,-,-3210905,-333345,-328840
Other investing activites,-,-1721,1398,-1492
Net cash used for investing activites,-,-3212626,-331690,-329242
Net change in cash,-,5590647,-1576859,1628679
Cash at beginning of period,-,2945108,4521968,2893288
Cash at end of period,-,8535756,2945108,4521968
Operating Cash Flow,-,2524968,-797611,-226332
Capital Expenditure,-,-3210905,-333345,-328840
Free Cash Flow,-,-685937,-1130956,-555172
