Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-159496,-159496,-117563,-441038,-424549
Depreciation & amortization,-,-,798,1614,5976
Stock based compensation,-,-,-,0,63881
Change in working capital,-,-,-256047,-152098,-543358
Other working capital,-,-,-264388,-188253,-655162
Other non-cash items,-,-,-1586,-27645,151030
Net cash provided by operating activites,-,-,-264007,-187444,-607271
Investments in property plant and equipment,-,-,-381,-809,-47891
Acquisitions net,-,-,0,-508,-300000
Purchases of investments,-,-,0,-7800,-127923
Sales/Maturities of investments,-,-,35017,0,91769
Net cash used for investing activites,-,-,187054,76073,-230773
Net change in cash,-,-,-30457,-111529,-379638
Cash at beginning of period,-,-,134477,246446,625964
Cash at end of period,-,-,104244,134477,246446
Operating Cash Flow,-,-,-264007,-187444,-607271
Capital Expenditure,-,-,-381,-809,-47891
Free Cash Flow,-,-,-264388,-188253,-655162
