Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1492962,1481682,1429216,1287048
Liabilities,,,,
Total Liabilities,1377924,1382268,1337845,1196031
Stockholders' Equity,,,,
Common Stock,6520,6279,6047,5822
Retained Earnings,61590,54105,50595,51671
Accumulated other comprehensive income,-3755,-6099,-5662,-3801
Total stockholders' equity,115038,99414,91371,91017
Total liabilities and stockholders' equity,1492962,1481682,1429216,1287048
