Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1410683,1637758,1529330,910662
Depreciation & amortization,2254921,2394815,2635658,2675654
Change in working capital,16249,89731,-84854,301128
Inventory,892,-15308,-23929,24974
Other working capital,-431808,727484,855843,3909539
Other non-cash items,376322,-36365,-83470,365716
Net cash provided by operating activites,4018649,4305326,3046762,5089382
Investments in property plant and equipment,-4450457,-3577842,-2190919,-1179843
Purchases of investments,-36133,-35342,-265571,-13502
Sales/Maturities of investments,-,14400,-,-
Other investing activites,683,24414,-55287,175595
Net cash used for investing activites,-4345372,-3557534,-1942891,-981844
Net change in cash,-71770,939555,52503,-145642
Cash at beginning of period,6831128,6716257,6663753,6809396
Cash at end of period,6761502,7655813,6716257,6663753
Operating Cash Flow,4018649,4305326,3046762,5089382
Capital Expenditure,-4450457,-3577842,-2190919,-1179843
Free Cash Flow,-431808,727484,855843,3909539
