Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,4869000,4869000,13800000,14498000,12958000
Depreciation & amortization,8118000,8118000,8005000,7368000,6909000
Change in working capital,-25000,-25000,-680000,1268000,1733000
Other working capital,10122000,10122000,13059000,14330000,13612000
Other non-cash items,2535000,2535000,2179000,1931000,1864000
Net cash provided by operating activites,21345000,21345000,23951000,24417000,23676000
Investments in property plant and equipment,-11223000,-11223000,-10892000,-10087000,-10064000
Acquisitions net,-482000,-482000,-1297000,-14000,-805000
Purchases of investments,-121000,-121000,-1389000,-3052000,-
Sales/Maturities of investments,4171000,4171000,958000,-,-
Net cash used for investing activites,-5824000,-5824000,-11259000,-16735000,-8296000
Net change in cash,577000,577000,1187000,1819000,1092000
Cash at beginning of period,7365000,7365000,6529000,4467000,3565000
Cash at end of period,7881000,7881000,7365000,6529000,4467000
Operating Cash Flow,21345000,21345000,23951000,24417000,23676000
Capital Expenditure,-11223000,-11223000,-10892000,-10087000,-10064000
Free Cash Flow,10122000,10122000,13059000,14330000,13612000
