Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,288564,330220,381683,300964
Liabilities,,,,
Total Liabilities,88647,134841,176920,108836
Stockholders' Equity,,,,
Common Stock,175.642,197.626,212.463,221.81
Retained Earnings,-25679,-16228,-8594,-1444
Total stockholders' equity,199917,195378,204763,192129
Total liabilities and stockholders' equity,288564,330220,381683,300964
