Attribute,Value
Previous Close,232.94
Open,213.63
Bid,212.80 x 1100
Ask,215.99 x 1100
Day's Range,210.68 - 228.83
52 Week Range,"38.33 - 1,000.00"
Volume,2298768
Avg. Volume,11532919
Net Assets,2.21B
NAV,232.88
PE Ratio (TTM),
Yield,0.00%
YTD Daily Total Return,367.69%
Beta (5Y Monthly),1.89
Expense Ratio (net),1.65%
Inception Date,2010-11-29
