Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,69172000,68746000,66288000,63239165
Liabilities,,,,
Total Liabilities,61819000,61168000,58609000,55604859
Stockholders' Equity,,,,
Common Stock,3301000,566000,5011000,5434316
Retained Earnings,4009000,3456000,2807000,2321571
Accumulated other comprehensive income,43000,-250000,-139000,-121581
Total stockholders' equity,7353000,7578000,7679000,7634306
Total liabilities and stockholders' equity,69172000,68746000,66288000,63239165
