Breakdown,8/31/2019,8/31/2018,8/31/2017,8/31/2016
Total Assets,369676,375084,354339,283560
Liabilities,,,,
Total Liabilities,7366,5521,215,560
Stockholders' Equity,,,,
Common Stock,16,16,16,24
Total stockholders' equity,362310,369563,354124,283000
Total liabilities and stockholders' equity,369676,375084,354339,283560
