Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-14,-14,-1494,-1063,-353
Net cash used for investing activites,-14,-14,-1494,-1063,-353
Debt repayment,-1207,-1207,-1750,-,-59
Common stock issued,5388,5388,7202,3238,8214
Other financing activites,-161,-161,-,475,1690
Net cash used privided by (used for) financing activities,5020,5020,6952,6970,9845
Net change in cash,287,287,-358,-1870,-162
Cash at beginning of period,487,487,845,2715,2877
Cash at end of period,774,774,487,845,2715
Capital Expenditure,-14,-14,-1494,-1063,-353
Free Cash Flow,-4733,-4733,-7310,-8840,-10007
