Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,443348,443348,415316,348293,291676
Interest Expense,108745,108745,69087,37612,26839
Income Before Tax,193785,193785,188138,133594,108660
Income Tax Expense,29325,29325,28999,37524,27609
Income from Continuing Operations,164460,164460,159139,96070,81051
Net Income,164460,164460,159139,96070,81051
Net Income available to common shareholders,164460,164460,159139,96070,81051
Basic EPS,-,-,3.23,2.13,1.99
Diluted EPS,-,-,3.22,2.12,1.98
Basic Average Shares,-,-,49269,45103,40729
Diluted Average Shares,-,-,49471,45403,41013
