Breakdown,ttm,3/31/2019
Investments in property plant and equipment,-803.4859,-803.4859
Acquisitions net,-2632,-2632
Net cash used for investing activites,-3435,-3435
Common stock issued,19224,19224
Common stock repurchased,-1343,-1343
Other financing activites,-3259,-3259
Net cash used privided by (used for) financing activities,14623,14623
Net change in cash,10168,10168
Cash at beginning of period,7493,7493
Cash at end of period,16921,16921
Capital Expenditure,-803.4859,-803.4859
Free Cash Flow,-1823,-1823
