Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,676706,676706,576124,605884,619259
Interest Expense,5791,5791,-,0,-
Income Before Tax,62561,62561,-34856,10762,146735
Income Tax Expense,20,20,27,21,1
Income from Continuing Operations,62541,62541,-34883,10741,146734
Net Income,62541,62541,-34883,10741,146734
Net Income available to common shareholders,44745,44745,-54516,-8892,127100
Basic EPS,-,-,-2.40,-0.39,5.60
Diluted EPS,-,-,-2.40,-0.39,5.60
Basic Average Shares,-,-,22683,22683,22683
Diluted Average Shares,-,-,22683,22683,22683
