Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-496,-496,-2,-,-
Other investing activites,1586,1586,-514,808,1258
Net cash used for investing activites,1090,1090,-516,808,1258
Debt repayment,-,-,-,-,-760.887
Common stock issued,-,-,-,-,262.9
Net cash used privided by (used for) financing activities,595,595,1519,-,-497.987
Net change in cash,-935,-935,-94,92,350.508
Cash at beginning of period,1844,1844,1938,1846,1496
Cash at end of period,909,909,1844,1938,1847
Capital Expenditure,-496,-496,-2,-,-
Free Cash Flow,-3116,-3116,-1099,-716,-409.457
