Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-9790000,2244000,3922000,1787000
Depreciation & amortization,-,2902000,2926000,2920000
Change in working capital,-,-817000,-2180000,416000
Inventory,-,-5000,-808000,409000
Other working capital,-,1906000,3975000,3799000
Other non-cash items,-,189000,88000,84000
Net cash provided by operating activites,-,3121000,5346000,4885000
Investments in property plant and equipment,-,-1215000,-1371000,-1086000
Purchases of investments,-,-7184000,-8632000,-5598000
Sales/Maturities of investments,-,7142000,5938000,5247000
Other investing activites,-,-224000,-1000,-2066000
Net cash used for investing activites,-,-1481000,-4066000,-3502000
Net change in cash,-,-198000,-948000,-1033000
Cash at beginning of period,-,7511000,8460000,9494000
Cash at end of period,-,7313000,7511000,8460000
Operating Cash Flow,-,3121000,5346000,4885000
Capital Expenditure,-,-1215000,-1371000,-1086000
Free Cash Flow,-,1906000,3975000,3799000
