Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,800,1500,-700,300
Depreciation & amortization,6500,3300,1900,1100
Stock based compensation,1000,800,400,300
Change in working capital,-8900,-5800,-3200,-800
Inventory,-1000,-1300,300,-200
Other working capital,-4700,-4800,1900,1000
Other non-cash items,900,600,4600,800
Net cash provided by operating activites,-2700,-3000,2400,1400
Investments in property plant and equipment,-2000,-1800,-500,-400
Acquisitions net,-37700,-38600,-11200,-23300
Other investing activites,-,-,-3600,0
Net cash used for investing activites,-37200,-37800,-15000,-23600
Net change in cash,-10800,0,-100,-2800
Cash at beginning of period,17200,7700,7800,10600
Cash at end of period,6400,7700,7700,7800
Operating Cash Flow,-2700,-3000,2400,1400
Capital Expenditure,-2000,-1800,-500,-400
Free Cash Flow,-4700,-4800,1900,1000
