Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-8314,-8314,-,-,-
Purchases of investments,-6500,-6500,-10111,-8982,-11761
Sales/Maturities of investments,118,118,-,2119,130
Net cash used for investing activites,-14696,-14696,-10111,-6863,-11631
Dividends Paid,-33093,-33093,-31505,-32564,-29387
Net cash used privided by (used for) financing activities,-33105,-33105,-31517,-32576,-29399
Net change in cash,-45,-45,85,99,801
Cash at beginning of period,2356,2356,2271,2172,1371
Cash at end of period,2311,2311,2356,2271,2172
Capital Expenditure,-8314,-8314,-,-,-
Free Cash Flow,39442,39442,41713,39538,41831
