Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,108715000,108715000,110044000
Cost of Revenue,87153000,87153000,89296000
Gross Profit,21562000,21562000,20747000
Total Operating Expenses,19782000,19782000,19819000
Operating Income or Loss,1780000,1780000,928000
Interest Expense,28000,28000,24000
Income Before Tax,1282000,1282000,642000
Income Tax Expense,536000,536000,207000
Income from Continuing Operations,746000,746000,435000
Net Income,745000,745000,434000
Net Income available to common shareholders,745000,745000,434000
Basic EPS,-,-,57.67
Diluted EPS,-,-,57.67
Basic Average Shares,-,-,7525
Diluted Average Shares,-,-,7525
