Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,749580,564344,944227,954596
Depreciation & amortization,-,749044,821870,526390
Change in working capital,-,1032028,402698,-197038
Inventory,-,1118814,-27682,-1182108
Other working capital,-,-1716634,-1567632,-2485888
Other non-cash items,-,-358795,430715,-380671
Net cash provided by operating activites,-,1814379,2781356,185454
Investments in property plant and equipment,-,-3531013,-4348988,-2671342
Purchases of investments,-,-125082,-25000,-25500
Sales/Maturities of investments,-,403529,-,-
Other investing activites,-,-20047,-189945,-37292
Net cash used for investing activites,-,-3184285,-4547392,-2720642
Net change in cash,-,-562698,654612,-1993962
Cash at beginning of period,-,1369187,714574,2708537
Cash at end of period,-,806489,1369187,714574
Operating Cash Flow,-,1814379,2781356,185454
Capital Expenditure,-,-3531013,-4348988,-2671342
Free Cash Flow,-,-1716634,-1567632,-2485888
