Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-120.6473,-91.2591,-274.6584,-55.9022,-133.3154
Other investing activites,1167,551.8323,821.2691,625.325,825.4781
Net cash used for investing activites,1046,460.5732,545.2577,569.4228,719.0951
Other financing activites,-,-,-,-,201.993
Net cash used privided by (used for) financing activities,-,-,110.9457,18.2007,201.993
Net change in cash,395.1967,81.2776,-9.471,-23.4009,-550.7676
Cash at beginning of period,53.8396,265.2217,332.8372,349.714,922.4347
Cash at end of period,449.0363,342.2216,251.6574,319.8128,362.2408
Capital Expenditure,-120.6473,-91.2591,-274.6584,-55.9022,-133.3154
Free Cash Flow,-549.0827,-470.5547,-940.3328,-666.9267,-1605
