Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,99281023,99281023,88790748,91193634,96371930
Operating Income or Loss,-,-,-,23743559,30205731
Interest Expense,58617986,58617986,55244669,75589415,91037386
Income Before Tax,13381078,13381078,19442015,23743559,31905456
Income Tax Expense,-7792129,-7792129,2693576,6428956,13912730
Income from Continuing Operations,21173207,21173207,16748439,17314603,17992726
Net Income,21023023,21023023,16583915,17089364,17894249
Net Income available to common shareholders,10035723,10035723,16583915,17089364,8542147
Basic EPS,-,-,1.79,1.84,1.93
Diluted EPS,-,-,1.79,1.84,1.93
Basic Average Shares,-,-,8836315,4428587,4428587
Diluted Average Shares,-,-,8836315,4428587,4428587
