Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,570626,555213,621459,692013
Depreciation & amortization,-,144290,124072,117952
Change in working capital,-,68245,139256,-24974
Inventory,-,21880,23844,73080
Other working capital,-,570457,869791,802026
Other non-cash items,-,-133644,190662,12064
Net cash provided by operating activites,-,640562,1051663,858362
Investments in property plant and equipment,-,-70105,-181872,-56336
Purchases of investments,-,-1557929,-753048,-254874
Sales/Maturities of investments,-,1166648,920000,106613
Other investing activites,-,1977,-19223,-449320
Net cash used for investing activites,-,-459409,-34143,-653917
Net change in cash,-,68430,884659,-197393
Cash at beginning of period,-,2741821,1857162,2054555
Cash at end of period,-,2810251,2741821,1857162
Operating Cash Flow,-,640562,1051663,858362
Capital Expenditure,-,-70105,-181872,-56336
Free Cash Flow,-,570457,869791,802026
