Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,9846000,26521000,41788000,59867000
Depreciation & amortization,2124000,1058000,9466000,2054000
Change in working capital,6111000,2950000,3708000,-7604000
Inventory,145000,355000,-362000,-221000
Other working capital,16030000,14348000,48315000,40622000
Other non-cash items,2748000,-4421000,-2924000,1749000
Net cash provided by operating activites,21422000,18113000,49975000,41274000
Investments in property plant and equipment,-5392000,-3765000,-1660000,-652000
Acquisitions net,-,-4577000,-,-294000
Purchases of investments,-3918000,-3238000,-1644000,-1093000
Sales/Maturities of investments,493000,567000,1270000,239000
Other investing activites,-104000,-154000,-3567000,-121000
Net cash used for investing activites,-30031000,-10811000,-5601000,-1921000
Net change in cash,-16987000,-11773000,21912000,7961000
Cash at beginning of period,140880000,156190000,134278000,126316000
Cash at end of period,123909000,144417000,156190000,134278000
Operating Cash Flow,21422000,18113000,49975000,41274000
Capital Expenditure,-5392000,-3765000,-1660000,-652000
Free Cash Flow,16030000,14348000,48315000,40622000
