Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,445013,429135,446566,413950
Liabilities,,,,
Total Liabilities,393844,383673,403802,373337
Stockholders' Equity,,,,
Retained Earnings,5879,2650,8472,6643
Accumulated other comprehensive income,482.814,-1777,-696.296,-607.109
Total stockholders' equity,51168,45463,42765,40613
Total liabilities and stockholders' equity,445013,429135,446566,413950
