Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,17994,17409,17647,17655,15821
Interest Expense,5201,4532,3495,2803,2610
Income Before Tax,5217,6026,5820,5410,5021
Income Tax Expense,1032,1283,2252,1758,1644
Income from Continuing Operations,4185,4743,3568,3652,3377
Net Income,4185,4743,3568,3652,3377
Net Income available to common shareholders,4185,4743,3568,3652,3377
Basic EPS,-,2.68,2.06,2.01,1.80
Diluted EPS,-,2.50,1.93,1.91,1.74
Basic Average Shares,-,1768,1735,1817,1877
Diluted Average Shares,-,1894,1847,1909,1942
