Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,540313,514866,476974,444802
Liabilities,,,,
Total Liabilities,497399,477733,437640,401188
Stockholders' Equity,,,,
Common Stock,5779,5707,5692,5652
Retained Earnings,-17292,-21769,-24693,-21172
Accumulated other comprehensive income,142,-749,-452,-241
Total stockholders' equity,42914,37133,39334,43614
Total liabilities and stockholders' equity,540313,514866,476974,444802
