Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-73.609,-85.552,-1.072,-180.767,-125.618
Purchases of investments,-42.2,-41.4,-36.6,-9.072,-269
Net cash used for investing activites,-522.137,-126.952,-37.672,-189.839,-394.618
Common stock issued,-,-,60,-,5460
Common stock repurchased,-,-,-,-,-1058
Net cash used privided by (used for) financing activities,-,838.517,60,-,4318
Net change in cash,21.163,-404.513,322.546,-1287,335.538
Cash at beginning of period,447.682,576.883,254.321,1542,1206
Cash at end of period,468.845,172.37,576.883,254.321,1542
Capital Expenditure,-73.609,-85.552,-1.072,-180.767,-125.618
Free Cash Flow,-591.609,-1202,299.146,-1278,-3714
