Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-229.977,-43.643,-2242,-44.968,-192.007
Acquisitions net,-,-,-,-,-1848
Sales/Maturities of investments,-,-,-,-,45.378
Net cash used for investing activites,-193.064,-43.286,-2225,95.222,-1987
Common stock issued,-,-,8210,7810,15158
Common stock repurchased,-,-,-505.472,-470.205,-697.961
Other financing activites,-,-,-,-,93.685
Net cash used privided by (used for) financing activities,-,-,7705,7340,14554
Net change in cash,202.827,-5866,-2929,412.143,7782
Cash at beginning of period,3438,6593,9700,9387,1775
Cash at end of period,3641,650.348,6593,9700,9387
Capital Expenditure,-229.977,-43.643,-2242,-44.968,-192.007
Free Cash Flow,-5453,-5866,-10650,-7068,-4977
