Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-7021,-7391,-7195,-6317
Other investing activites,-,-618.6554,0.9393,414.6119
Net cash used for investing activites,-7972,-8010,-7194,-5902
Debt repayment,-2882,-2873,-2818,-2753
Other financing activites,-,-442.444,-224.4975,-
Net cash used privided by (used for) financing activities,-3149,4169,-2770,-397.2603
Net change in cash,-5526,1391,-1824,-473.0594
Cash at beginning of period,6691,913.6181,2720,3118
Cash at end of period,1165,2305,896.1112,2645
Capital Expenditure,-7021,-7391,-7195,-6317
Free Cash Flow,-1426,-2159,944.9559,-490.411
