Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,368811,368811,349313,304275,287688
Interest Expense,30102,30102,18930,9288,5451
Income Before Tax,198032,198032,178175,147188,135927
Income Tax Expense,33220,33220,27537,26817,31153
Income from Continuing Operations,164812,164812,150638,120371,104774
Net Income,164812,164812,150638,120371,104774
Net Income available to common shareholders,164812,164812,150638,120371,104774
Basic EPS,-,-,1.11,0.91,0.80
Diluted EPS,-,-,1.11,0.91,0.80
Basic Average Shares,-,-,135219,132254,132026
Diluted Average Shares,-,-,135966,132649,132206
