Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,2247260,2447191,2237605
Liabilities,,,
Total Liabilities,129076,146379,89508
Stockholders' Equity,,,
Common Stock,68045,69480,70406
Total stockholders' equity,2118184,2300812,2148097
Total liabilities and stockholders' equity,2247260,2447191,2237605
