Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-645.443,-759.241,-1892,-229.02,-311.575
Acquisitions net,-,-,-771.845,-,-571.24
Purchases of investments,-,-,-2145,-351.24,-
Sales/Maturities of investments,-,1710,-,465.807,41.506
Net cash used for investing activites,-1013,955.15,-4809,-114.453,-841.309
Debt repayment,-1966,-5969,-300,-1360,-
Common stock issued,-,5237,3094,-,1089
Dividends Paid,-,-589.777,-,-,-
Net cash used privided by (used for) financing activities,-2583,-1321,8793,-358.825,1289
Net change in cash,1079,-179.958,12855,5365,199.304
Cash at beginning of period,17067,19032,6177,812.831,613.527
Cash at end of period,18146,18852,19032,6177,812.831
Capital Expenditure,-645.443,-759.241,-1892,-229.02,-311.575
Free Cash Flow,4029,-572.859,6979,5609,-560.373
