Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,50962,50962,52664,51168,44565
Interest Expense,7265,7265,5471,3975,3022
Income Before Tax,11720,11720,14199,11995,8840
Income Tax Expense,1813,1813,2255,4486,1920
Income from Continuing Operations,9907,9907,11944,7509,6920
Net Income,9907,9907,11944,7509,6920
Net Income available to common shareholders,9907,9907,11944,7509,6920
Basic EPS,-,-,2.53,1.60,1.59
Diluted EPS,-,-,2.53,1.60,1.59
Basic Average Shares,-,-,4726,4685,4352
Diluted Average Shares,-,-,4726,4685,4352
