Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-863.225,-610.687,-519.367,-1012,-371.166
Net cash used for investing activites,-863.225,-610.687,-519.367,-1012,-371.166
Common stock issued,37717,255.85,-,15028,60
Common stock repurchased,-1861,-5.652,-,-797.583,-13.955
Net cash used privided by (used for) financing activities,35751,250.198,-,14230,46.045
Net change in cash,31631,-2629,-4213,10647,-2897
Cash at beginning of period,8821,8955,13193,2564,5462
Cash at end of period,40452,6312,8955,13193,2564
Capital Expenditure,-863.225,-610.687,-519.367,-1012,-371.166
Free Cash Flow,-4120,-2880,-4213,-3583,-2943
