Breakdown,ttm,8/31/2019,8/31/2018,8/31/2017,8/31/2016
Net Income,106000,106000,108000,116000,108000
Depreciation & amortization,50000,50000,43000,41000,38000
Stock based compensation,6000,6000,4000,5000,8000
Change in working capital,-13000,-13000,-11000,-10000,-8000
Inventory,-2000,-2000,-4000,-4000,-5000
Other working capital,90000,90000,90000,100000,92000
Other non-cash items,1000,1000,-,-,-
Net cash provided by operating activites,149000,149000,143000,148000,134000
Investments in property plant and equipment,-59000,-59000,-53000,-48000,-42000
Acquisitions net,-161000,-161000,-5000,-,0
Net cash used for investing activites,-220000,-220000,-58000,-48000,-42000
Net change in cash,4000,4000,8000,0,2000
Cash at beginning of period,45000,45000,38000,38000,34000
Cash at end of period,49000,49000,45000,38000,38000
Operating Cash Flow,149000,149000,143000,148000,134000
Capital Expenditure,-59000,-59000,-53000,-48000,-42000
Free Cash Flow,90000,90000,90000,100000,92000
