Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-778,-778,-255,-298,-189
Purchases of investments,-9213,-9213,-259,-1309,-232
Sales/Maturities of investments,238,238,2093,402,1496
Net cash used for investing activites,-9753,-9753,1579,-1205,1075
Debt repayment,-9313,-9313,-10029,-58790,-61000
Common stock issued,-,-,36351,-,-
Common stock repurchased,-,-,-323,-,-
Dividends Paid,-24660,-24660,-23312,-15196,-12502
Other financing activites,-142777,-142777,-77807,28413,121873
Net cash used privided by (used for) financing activities,-35750,-35750,-39120,-45573,55492
Net change in cash,1515,1515,-4354,8146,77497
Cash at beginning of period,193622,193622,197976,189830,112333
Cash at end of period,195137,195137,193622,197976,189830
Capital Expenditure,-778,-778,-255,-298,-189
Free Cash Flow,46240,46240,32932,54626,20741
