Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,31740,31740,28411,25399,24019
Interest Expense,5264,5264,3795,2993,2344
Income Before Tax,6934,6934,6631,5360,4813
Income Tax Expense,1329,1329,1329,2438,1527
Income from Continuing Operations,5605,5605,5302,2922,3286
Net Income,5605,5605,5302,2922,3286
Net Income available to common shareholders,5605,5605,5302,2922,3286
Basic EPS,-,-,1.21,0.67,0.75
Diluted EPS,-,-,1.21,0.67,0.75
Basic Average Shares,-,-,4378,4378,4378
Diluted Average Shares,-,-,4378,4379,4378
