Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-22.089,-,-,-
Acquisitions net,-,-962.464,-,3779,-
Purchases of investments,-,-,-,-,-100
Sales/Maturities of investments,-,-,300,-,-
Other investing activites,-,67.649,-128.469,-,-500
Net cash used for investing activites,-,-916.904,171.531,3779,-600
Debt repayment,-,-91.873,-,-136.5,-
Common stock issued,5315,2954,5000,5440,770
Common stock repurchased,-390.689,-172.877,-298.667,-357.272,-56.096
Other financing activites,-,-,-,-,2200
Net cash used privided by (used for) financing activities,5133,4085,4701,4946,2914
Net change in cash,-1583,-3575,52.531,4805,1738
Cash at beginning of period,2418,4947,4910,114.811,2083
Cash at end of period,834.215,1400,4947,4910,3821
Capital Expenditure,-,-22.089,-,-,-
Free Cash Flow,-6784,-6765,-4820,-3920,-576.128
