Breakdown,9/30/2019,9/30/2018,9/30/2017
Total Assets,180598,151292,142245
Liabilities,,,
Total Liabilities,19096,18970,10175
Stockholders' Equity,,,
Common Stock,919,919,919
Total stockholders' equity,161502,132322,132070
Total liabilities and stockholders' equity,180598,151292,142245
