Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,7585400,6802500,5859100,4860800
Liabilities,,,,
Total Liabilities,6666800,6031400,5203300,4279100
Stockholders' Equity,,,,
Common Stock,300,300,300,300
Retained Earnings,840900,713500,580300,505700
Total stockholders' equity,909400,758300,646100,570900
Total liabilities and stockholders' equity,7585400,6802500,5859100,4860800
