Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-44.059,-82.702,-58.169,-705.652,-178.819
Acquisitions net,-,-,-,-1940,-
Purchases of investments,-,-421.507,-,-,-
Net cash used for investing activites,-566.284,-504.209,-10.169,-2596,48.596
Debt repayment,-450.302,-256.41,-85.465,-33.334,-85.342
Common stock issued,-,-,-,-,5000
Common stock repurchased,-,-,-,-,-618.768
Other financing activites,-,-12.942,-,-68.343,-107.083
Net cash used privided by (used for) financing activities,-164.045,29.847,1178,1515,4474
Net change in cash,2043,-89.342,96.442,-2945,3209
Cash at beginning of period,566.465,1009,912.432,3857,647.857
Cash at end of period,2609,919.532,1009,912.432,3857
Capital Expenditure,-44.059,-82.702,-58.169,-705.652,-178.819
Free Cash Flow,2729,302.318,-1129,-2569,-1492
