Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,204831,204202,197913,187939,178988
Interest Expense,1836,1888,1959,1900,2116
Income Before Tax,102064,105216,90997,87172,79957
Income Tax Expense,24359,24827,19433,37147,21104
Income from Continuing Operations,77705,80389,71564,50025,58853
Net Income,77705,80389,71564,50025,58853
Net Income available to common shareholders,77705,80389,71564,50025,58853
Basic EPS,-,-,2.69,1.90,2.30
Diluted EPS,-,-,2.67,1.89,2.29
Basic Average Shares,-,-,26649,26291,25612
Diluted Average Shares,-,-,26756,26419,25678
