Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,94467,94467,85744,80731,61523
Interest Expense,29987,29987,25612,18380,15084
Income Before Tax,39583,39583,35096,21579,25305
Income Tax Expense,7717,7717,7024,9664,8008
Income from Continuing Operations,31866,31866,28072,11915,17297
Net Income,31866,31866,28072,11915,17297
Net Income available to common shareholders,31866,31866,28072,11915,17297
Basic EPS,-,-,2.27,1.00,1.62
Diluted EPS,-,-,2.26,1.00,1.61
Basic Average Shares,-,-,12364,11918,10689
Diluted Average Shares,-,-,12425,11949,10717
