Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,316983,121679,147099,101512
Depreciation & amortization,-,315091,339734,334946
Change in working capital,-,94326,-173385,-274135
Inventory,-,-60094,-28904,-30376
Other working capital,-,507670,130143,-796
Other non-cash items,-,19803,21279,12916
Net cash provided by operating activites,-,616570,363112,180891
Investments in property plant and equipment,-,-108900,-232969,-181687
Other investing activites,-,-3467,-1863,-1279
Net cash used for investing activites,-,-106857,-229790,12153
Net change in cash,-,35062,-17165,355
Cash at beginning of period,-,1111714,1128880,1128525
Cash at end of period,-,1146777,1111714,1128880
Operating Cash Flow,-,616570,363112,180891
Capital Expenditure,-,-108900,-232969,-181687
Free Cash Flow,-,507670,130143,-796
