Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,86283,103621,161325,486415
Depreciation & amortization,-,365503,370734,401463
Change in working capital,-,-316008,215086,-88756
Inventory,-,-24595,29012,-15166
Other working capital,-,99978,717157,476539
Other non-cash items,-,-143221,-503132,-403119
Net cash provided by operating activites,-,99978,717157,476539
Sales/Maturities of investments,-,-,2,272804
Other investing activites,-,-259800,-310486,-680047
Net cash used for investing activites,-,-259800,-310484,-407243
Net change in cash,-,-329043,348836,-137511
Cash at beginning of period,-,1156435,807599,945110
Cash at end of period,-,827392,1156435,807599
Operating Cash Flow,-,99978,717157,476539
Free Cash Flow,-,99978,717157,476539
