Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,126748,100368,95866,119703
Liabilities,,,,
Total Liabilities,119541,95062,93321,116622
Stockholders' Equity,,,,
Common Stock,28,18,11,11
Retained Earnings,-31610,-30510,-31306,-30717
Accumulated other comprehensive income,-205,-330,-250,-252
Total stockholders' equity,7207,5306,2545,3081
Total liabilities and stockholders' equity,126748,100368,95866,119703
