Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,9129000,9000000,9416000,-1213000
Depreciation & amortization,2756000,2320000,2267000,2340000
Change in working capital,-69219000,-29388000,-25216000,-5650000
Inventory,-7722000,-2720000,-5112000,-2271000
Other working capital,-60618000,-26449000,-16344000,373000
Other non-cash items,830000,-996000,-1742000,1205000
Net cash provided by operating activites,-54380000,-20648000,-13397000,3319000
Investments in property plant and equipment,-6238000,-5801000,-2947000,-2946000
Acquisitions net,-,-,-23000,-
Purchases of investments,-93000,-100000,-,-205000
Sales/Maturities of investments,319000,115000,16000,362000
Other investing activites,10000,-79000,-56000,-31000
Net cash used for investing activites,-5871000,-5629000,-2829000,-2442000
Net change in cash,-5539000,-7842000,13341000,-5766000
Cash at beginning of period,19815000,24140000,10798000,16564000
Cash at end of period,14227000,16297000,24140000,10798000
Operating Cash Flow,-54380000,-20648000,-13397000,3319000
Capital Expenditure,-6238000,-5801000,-2947000,-2946000
Free Cash Flow,-60618000,-26449000,-16344000,373000
