Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2595379,2175173,1853232,1265284
Liabilities,,,,
Total Liabilities,2387044,1979217,1616857,1030926
Stockholders' Equity,,,,
Common Stock,154,153,153,153
Retained Earnings,209171,209083,237171,235567
Total stockholders' equity,208335,195956,236375,234358
Total liabilities and stockholders' equity,2595379,2175173,1853232,1265284
