Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,228804,176605,266895,312902
Depreciation & amortization,-,340328,361650,315644
Change in working capital,-,-156924,7680,-12736
Inventory,-,-47546,-196769,51174
Other working capital,-,97963,195478,267457
Other non-cash items,-,5,43,-16463
Net cash provided by operating activites,-,342211,587858,595837
Investments in property plant and equipment,-,-244248,-392380,-328380
Purchases of investments,-,-1470366,-4912,-4882
Sales/Maturities of investments,-,1465000,575,8100
Other investing activites,-,-19484,-18531,-24664
Net cash used for investing activites,-,-268491,-415150,-335323
Net change in cash,-,-14768,83522,179552
Cash at beginning of period,-,3122116,3038594,2859041
Cash at end of period,-,3107347,3122116,3038594
Operating Cash Flow,-,342211,587858,595837
Capital Expenditure,-,-244248,-392380,-328380
Free Cash Flow,-,97963,195478,267457
