Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,54648,61796,73763,81466
Interest Expense,8948,9504,10137,9222
Income Before Tax,-4281,-4588,3163,8740
Income Tax Expense,-706,-940,4261,3331
Income from Continuing Operations,-3575,-3648,-1098,5409
Net Income,-3575,-3648,-1098,5409
Net Income available to common shareholders,-3571,-3648,-1098,5409
Basic EPS,-,-0.46,-0.14,0.70
Diluted EPS,-,-0.46,-0.14,0.69
Basic Average Shares,-,7930,7843,7727
Diluted Average Shares,-,7930,7843,7839
