Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,844176,977293,1249272,1097980
Depreciation & amortization,-,559140,361931,382037
Change in working capital,-,-490166,-771088,937991
Inventory,-,-746827,-1197513,446554
Other working capital,-,-248159,-665376,1794256
Other non-cash items,-,-32116,-77986,-195485
Net cash provided by operating activites,-,909478,1233051,2141607
Investments in property plant and equipment,-,-1157637,-1898427,-347351
Purchases of investments,-,-858537,-471112,-345549
Sales/Maturities of investments,-,-,12376,298358
Other investing activites,-,699179,-115245,121095
Net cash used for investing activites,-,-1319786,-2539829,-234851
Net change in cash,-,-219833,-1727617,4174899
Cash at beginning of period,-,8827885,10555502,6380602
Cash at end of period,-,8608052,8827885,10555502
Operating Cash Flow,-,909478,1233051,2141607
Capital Expenditure,-,-1157637,-1898427,-347351
Free Cash Flow,-,-248159,-665376,1794256
