Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-2.098,-2.098,-,-195.295,-741.626
Net cash used for investing activites,-2.098,-2.098,115.817,-195.295,-741.626
Debt repayment,-36.485,-36.485,-,-,-112.66
Common stock issued,570,570,971,1222,3291
Common stock repurchased,-3.189,-3.189,-73.674,-92.047,-318.869
Other financing activites,-,-,-,-,-8.75
Net cash used privided by (used for) financing activities,530.326,530.326,897.326,1130,3061
Net change in cash,-455.967,-455.967,319.002,-789.617,1424
Cash at beginning of period,994.442,994.442,656.18,1457,38.039
Cash at end of period,540.495,540.495,994.442,656.18,1457
Capital Expenditure,-2.098,-2.098,-,-195.295,-741.626
Free Cash Flow,-986.293,-986.293,-694.141,-1920,-1637
