Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,5893,5893,78171,76272,-21073
Income Before Tax,-20,-20,71637,71063,-26791
Income Tax Expense,353,353,21284,21136,-8027
Income from Continuing Operations,-373,-373,50353,49927,-18764
Net Income,-373,-373,50353,49927,-18764
Net Income available to common shareholders,-373,-373,50353,49927,-18764
Basic EPS,-,-0.00,0.18,0.20,-0.08
Diluted EPS,-,-0.00,0.18,0.20,-0.08
Basic Average Shares,-,287318,285090,249241,234573
Diluted Average Shares,-,287318,285090,249241,234573
