Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-210615,-333248,227890,276242
Depreciation & amortization,-,119676,116197,112950
Change in working capital,-,-72090,201248,-415170
Inventory,-,-11087,-30042,18079
Other working capital,-,-469082,600009,31209
Other non-cash items,-,-92622,153666,51170
Net cash provided by operating activites,-,-396110,632006,54950
Investments in property plant and equipment,-,-72972,-31997,-23741
Other investing activites,-,100608,-397586,1499
Net cash used for investing activites,-,27636,-429583,-22242
Net change in cash,-,-374207,214073,35869
Cash at beginning of period,-,2403808,2189734,2153865
Cash at end of period,-,2029601,2403808,2189734
Operating Cash Flow,-,-396110,632006,54950
Capital Expenditure,-,-72972,-31997,-23741
Free Cash Flow,-,-469082,600009,31209
