Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1008943,877890,914955,754423
Depreciation & amortization,-,748877,792078,829045
Change in working capital,-,-211759,91063,38334
Inventory,-,-47864,-95035,-49055
Other working capital,-,221808,1303090,631173
Other non-cash items,-,-121481,43248,-57613
Net cash provided by operating activites,-,1378709,1954207,1577997
Investments in property plant and equipment,-,-1156901,-651117,-946824
Acquisitions net,-,-,-25148,-
Purchases of investments,-,-,-41400,-
Other investing activites,-,3122,74708,-21268
Net cash used for investing activites,-,-1153779,-642957,-995887
Net change in cash,-,-248851,737546,78029
Cash at beginning of period,-,3673623,2936076,2858046
Cash at end of period,-,3424772,3673623,2936076
Operating Cash Flow,-,1378709,1954207,1577997
Capital Expenditure,-,-1156901,-651117,-946824
Free Cash Flow,-,221808,1303090,631173
