Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,8192000,7536000,9382000,4304000
Depreciation & amortization,-,2142000,1765000,1658000
Change in working capital,-,-2295000,6959000,-9042000
Other working capital,-,-4197000,13363000,-8828000
Other non-cash items,-,15000,-21000,4431000
Net cash provided by operating activites,-,4449000,19252000,-5166000
Investments in property plant and equipment,-,-8646000,-5889000,-3662000
Acquisitions net,-,-14000,-12000,-
Purchases of investments,-,-,-649000,-796000
Sales/Maturities of investments,-,2479000,131000,1617000
Other investing activites,-,13000,-184000,38000
Net cash used for investing activites,-,-5845000,-6624000,-62000
Net change in cash,-,1190000,6776000,-2068000
Cash at beginning of period,-,23224000,16447000,18515000
Cash at end of period,-,24414000,23224000,16447000
Operating Cash Flow,-,4449000,19252000,-5166000
Capital Expenditure,-,-8646000,-5889000,-3662000
Free Cash Flow,-,-4197000,13363000,-8828000
