Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2883000,1426000,4490000,7652000
Depreciation & amortization,-,1617000,1615000,1503000
Change in working capital,-,-18039000,17247000,5996000
Other working capital,-,-13868000,-7299000,11871000
Other non-cash items,-,-25088000,-53138000,-32843000
Net cash provided by operating activites,-,-12743000,-4820000,13399000
Investments in property plant and equipment,-,-1125000,-2479000,-1528000
Purchases of investments,-,-428193000,-521298000,-408609000
Sales/Maturities of investments,-,378067000,505542000,558535000
Other investing activites,-,15000,16000,12000
Net cash used for investing activites,-,-51185000,-18133000,148470000
Net change in cash,-,-64833000,-23838000,160977000
Cash at beginning of period,-,435031000,458869000,297891000
Cash at end of period,-,370198000,435031000,458869000
Operating Cash Flow,-,-12743000,-4820000,13399000
Capital Expenditure,-,-1125000,-2479000,-1528000
Free Cash Flow,-,-13868000,-7299000,11871000
