Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,8010000,8010000,13638000,8762000,4617000
Depreciation & amortization,4384000,4384000,4015000,4375000,4794000
Change in working capital,0,0,-532000,-199000,-273000
Inventory,28000,28000,-587000,-482000,292000
Other working capital,9424000,9424000,6391000,9402000,5453000
Other non-cash items,648000,648000,33000,1658000,773000
Net cash provided by operating activites,14912000,14912000,11821000,13884000,8465000
Investments in property plant and equipment,-5488000,-5488000,-5430000,-4482000,-3012000
Acquisitions net,-80000,-80000,-5000,-,0
Purchases of investments,-43000,-43000,-1572000,-723000,-789000
Sales/Maturities of investments,83000,83000,19000,40000,582000
Other investing activites,11000,11000,-1000,-18000,12000
Net cash used for investing activites,-5501000,-5501000,1321000,-2373000,-2104000
Net change in cash,-2862000,-2862000,342000,2358000,-1165000
Cash at beginning of period,10889000,10889000,10547000,8189000,9354000
Cash at end of period,8027000,8027000,10889000,10547000,8189000
Operating Cash Flow,14912000,14912000,11821000,13884000,8465000
Capital Expenditure,-5488000,-5488000,-5430000,-4482000,-3012000
Free Cash Flow,9424000,9424000,6391000,9402000,5453000
