Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-4,-5,-,-970
Other investing activites,-,-1191,-,-,78
Net cash used for investing activites,-2874,-1195,-5,-,-892
Common stock issued,3041,2000,6000,2300,2005
Common stock repurchased,-87,-136,-371,-147,-132
Net cash used privided by (used for) financing activities,2954,1864,5629,2153,1873
Net change in cash,-949,-4594,2711,238,95
Cash at beginning of period,2102,5182,2465,2227,2132
Cash at end of period,1153,591,5182,2465,2227
Capital Expenditure,-,-4,-5,-,-970
Free Cash Flow,-1029,-5267,-2918,-1915,-1856
