Breakdown,ttm,3/31/2019
Net Income,14658,22773
Change in working capital,5286,-39
Other working capital,22966,15186
Other non-cash items,57,2214
Net cash provided by operating activites,22966,15186
Purchases of investments,-151018,-23094
Sales/Maturities of investments,-35,18654
Net cash used for investing activites,-151053,-4440
Net change in cash,3848,-1706
Cash at beginning of period,3884,6572
Cash at end of period,7732,4866
Operating Cash Flow,22966,15186
Free Cash Flow,22966,15186
