Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2344,-3329,-2432,-1523,-2020
Net cash used for investing activites,-2466,-3329,-2432,-1523,-977
Debt repayment,-2639,-2194,-2204,-1899,-2262
Common stock issued,-,-,1128,3008,700
Dividends Paid,-,-1294,-824,-539,-682
Net cash used privided by (used for) financing activities,1008,2126,279,5178,-2066
Net change in cash,4339,2990,1757,445,-1372
Cash at beginning of period,4210,4184,2427,1982,3354
Cash at end of period,8549,7174,4184,2427,1982
Capital Expenditure,-2344,-3329,-2432,-1523,-2020
Free Cash Flow,3453,864,1478,-4733,-349
